,filename,opinion_text
0,accuracy_garmin_nuvi_255W_gps,"                                                                                                                                                                                                                                                               , and is very, very accurate .
0                                                                                                                                                                           but for the most part, we find that the Garmin software provides accurate directions, whereever we intend to go .
1                                                                                                              This function is not accurate if you don't leave it in battery mode say, when you stop at the Cracker Barrell for lunch and to play one of those trangle games with the tees .
2                                                                                                                                                                      It provides immediate alternatives if the route from the online map program was inaccurate or blocked by an obstacle .
3                                                                                                                                                                    I've used other GPS units, as well as GPS built into cars   and to this day NOTHING beats the accuracy of a Garmin GPS .
4                                                                                                                                                                                                                            It got me from point A to point B with 100% accuracy everytime .
5                                                                                                                                                                                                                        It has yet to disappoint, getting me everywhere with 100% accuracy .
6                                                                                                                                                                                                                                   0 out of 5 stars Honest, accurate review, , PLEASE READ !
7                                                                                                                                                                                                                  Aside from that, every destination I've thrown at has been 100% accurate .
8                                                                                                                                                                                       In closing, this is a fantastic GPS with some very nice features and is very accurate in directions .
9                                                                                                                                                                                             Plus, I've always heard that there are  quirks  with any GPS being accurate, having POIs, etc .
10                                                                                                                                                                                                                                          DESTINATION TIME, , This is pretty accurate too .
11                                                                                                                                                                                                                                                           But, it's always very accurate .
12                                                                                                                                                                                                               The map is pretty accurate and the Point of interest database also is good .
13                                                                                                                                                                                                                                           Most of the times, this info was very accurate .
14                                                                                                                                                                                                          I've even used it in the  pedestrian  mode, and it's amazing how accurate it is .
15                                                                                                                                                                                                                      ONLY  is only accurate when an ad says,  Top sirloin steak, ONLY $1 .
16                                                                                                                                                                                The most accurate review stated that these machines are adjunct to a good map and signs on the interstate .
17                                                                                                                                                                                                                                         The directions are highly accurate down to a  T  .
18                                                                                                                                   Depending on what you are using it for, it is a nice adjunct to a travel trip and the directions are accurate and usually the quickest, but not always .
19                                                                                                                                                                                                      The screen is easy to see, the voice tells you where you are and it's very accurate .
20                                                                                                                                                                                                                   It was accurate to the minute when it told me when I would arrive home .
21                                                                                                                                                                                                            0 out of 5 stars GPS Navigator doesn't navigate accurately on a straight road .
22                                                                                                                                                                                          I was familiar with the streets and only used the Nuvi to get an accurate arrival time estimate .
23                                                                                                                                                                                                                                 but after that it is very easy and quite accurate to use .
24                                                                                                                                                                                                                                                  The accuracy at this point is very good .
25                                                                                                                                              While the 255W routing seems generally accurate and logical, on my first use I discovered that it does have some errors in its internal map .
26                                                                                                                                                                                                    Bottom line is I wanted a unit that is accurate and had reliable satellite connection .
27                                                                                                                                                                                                                            I've used it around town and find it to be extremely accurate .
28                                                                                                                                                                          I found the maps to be inaccurate at first, but after I updated them from Garmin's website everything is golden .
29                                                                                                                                                                                                                                 A lot of my friends' addresses are inaccurate by any GPS .
30                                                                                                                                                                                        It loads quickly, have pretty accurate directions, and can recalculate quickly when I miss a turn .
31                                                                                                                            Because the accuracy is good to the street address level, it may not be able to guide you to the exact location if your destination is inside a shopping mall .
32                                                                                                                                                                                            I updated to the latest 2010 map soon after I received the unit, so the map is accurate to me .
33                                                                                                                                                                                                                   I was blown away at the accuracy and routing capability this thing had .
34   I used it the day I bought it,   and then this morning, and as soon as it comes on it is  ready to navigate  The only downfall of this product, and the only reason I did not give it 5 stars is the fact that the speed limit it displays for the road you are on isn't 100% accurate .
35                                                                                                                                                                                                        If your looking for a nice, accurate GPS for not so much money, got with this one .
36                                                                                                                                                                                                                 0 out of 5 stars Inexpensive, accurate, plenty of features, August 6, 2009
37                                                                                                     The only glitch I have found so far is that the speed limits are not 100% accurate, although the GPS, amazingly, is able to very accurately tell you how fast your vehicle is moving .
38                                                                I was a little disappointed in the inaccuracy of the posted speed limit, as I'm guilty of not paying close enough attention to those signs, especially w  interstate speed traps that are constantly changing up and down .
39                                                                                                                                                                                                    The closest one that gives the most accurate route that I usually take is the Navigon .
40                                                                                                                          After 2 weeks, it has yet to make a mistake, and is always completely accurate ,  even to the point of telling me which side of the street my destination is on .
41                                                                                                                                                                                                    It has worked well for local driving giving accurate directions for roads and streets .
42                                                                                                                                                                                                  The estimated time to arrival does not seem to calculate the travelling time accurately .
43                                                                                                                          Accuracy is as good as any other unit, they all sometimes tell you you have arrived when you haven't, or continue to tell you to turn when you're already there .
44                                                                                                                                                                                                                                                       Accuracy is determined by the maps .
45                                                                                                                                                                                                                               Less traveled rural roads will not be accurate on any unit .
46                                                                                                                                                                                                                                                           Accuracy is within a few yards .
47                                                                                                                          What the 255w does best is find a street address, business, point of interest, hospital or airport and give you turn, by, turn directions with amazing accuracy .
48                                                                                                                                                                                    The Garmin is loaded with very accurate maps that generally know the roads in even the remotest areas .
49                                                        I'm really glad I bought it though, and like the easy to read graphics, the voice used to tell you the name of the street you are to turn on, the uncannily accurate estimates of mileage and time of arrival at your destination .
50                                                                                                                                                       My new Garmin 255w had very Easy Set Up, Accurate Directions to locations, User Friendly Unit to anyone in my vehicle who tried it .
51                                                                                                                                 I had a GPS 10, years ago when I owned a boat that was difficult to use and with very poor accuracy so I had assumed that the road GPS wasn't any better .
52                                                                                                                                                                                            Practiced visiting places I already knew to see how accurate the directions and maps would be .
53                                                                                                                                                                                                                            Easy to use, excellent accuracy, nice and intuitive interface .
54                                                                                                                                                                                                                            The directions provided have all been quite accurate thus far .
55                                                                                                                                                                                                             ,  Very Accurate but with one small glitch I found ,  I'll explain in the CONS
56                                                                                                                                                                                                                      This is a great GPS, it is so easy to use and it is always accurate .
57                                                                                                                                        Very easy to operate and pretty accurate as well, only led me astray once and that was in northern Maine where roads are few and paved ones fewer .
58                                                                                                                                                                                                                                      Easy to use and amazed at how accurate this item is .
59                                                                                                                                                                                                                                        To date it's been a very easy to use and accurate .
60                                                                                                                                                                                                                                         Mounted really easily and has been very accurate .
61                                                                                                                                                                                                                                                              seems to be rather accurate .
62                                                                                                                                                                                                        It was accurate on determing original directions and recalculating when necessary .
63                                                                                                                                                                                                                                                          Highly accurate, POIs are great .
64                                                                                                                               I can't believe how accurate and detailed the information estimated time of arrival,speed limits along the way,and detailed map of my route, to name a few .
65                                                                                                                                                                                                                Speed of calculation, accuracy, and simplicity of operation are top notch ."
1,bathroom_bestwestern_hotel_sfo,"                                                                                                                                                                                                                                              The room was not overly big, but clean and very comfortable beds, a great shower and very clean bathrooms .
0                                                                                                                                                                                                                          The second room was smaller, with a very inconvenient bathroom layout, but at least it was quieter and we were able to sleep .
1                                                                                                                                                                                                                                                                                                            Large comfortable room, wonderful bathroom .
2                                                                                                                                                                                                                                                                                           The rooms were nice, very comfy bed and very clean bathroom .
3                                                                                                                                                                                                                                                                                                              Bathroom was spacious too and very clean .
4                                                                                                                                                                                                                                                                                            The bathroom only had a single sink, but it was very large .
5                                                                                                                                                                                                                                                    The room was a standard but nice motel room like any other, bathroom seemed upgraded if I remember .
6                                                                                                                                                                                                                                                                                   The room was quite small but perfectly formed with a super bathroom .
7                                                                                                                                                                                                                                                                                                  You could eat off the bathroom floor it was so clean .
8                                                                                                                                                                                                                                                                       The bathroom door does the same thing, making the bathroom seem slightly larger .
9                                                                                                                                                                                                                                                                                                                bathroom spotless and nicely appointed .
10                                                                                                                                                                                                                                                                                             The rooms are exceptionally clean and also the bathrooms .
11                                                                                                                                                                                                                                                                                                         The bathroom was clean and the bed was comfy .
12                                                                                                                                                                                                                                                                                           They provide you with great aveda products in the bathroom .
13                                                                                                                                                                                                                Also, the bathroom was a bit dirty ,  brown water came out of the bath tub faucet initially and the sink wall by the toilet was dirty .
14                                                                                                                                                                                                                         If your dog tends to be a little disruptive or on the noisy side, there is a bathroom fan that you can keep on to make noise .
15                                                                                                                                                                                                                                                                                                               The bathroom was big and clean as well .
16                                                                                                                                                                                                       Also, the bathrooms were quite well set up, with a seperate toilet shower to basin, so whilst one guest is showering another can use the basin .
17                                                                                                                                                                                                                                                          The bathroom was marble and we had luxurious bathrobes and really, every detail attended to .
18                                                                                                                                                                                                                                                                                     It was very clean, had a beautiful bathroom, and was comfortable .
19                                                                                                                                                                                                                                                               The bed was comfortable and the bathroom was clean with a nice selection of toiletries .
20                                                                                                                                                                                                                                                                                                                    The bathroom was an adequate size .
21                                                                                                                                                                                                                                                                              First, from day one our bathroom had a urine smell that never went away .
22                                                                                                                                                                                                                                                             Otherwise the bathroom was decent enough ,  decent temperature and decent water pressure .
23                                                                                                                                                                                                                                                                                 Bathroom shower curtain reeked of mildew enough to smell up the room .
24                                                                                                                                                                       The bed was comfortable and the rooms and bathrooms were kept clean and although the refrigerators are honour bars the hotel is happy for you to chill your own drinks in them .
25                                                                                                                                                                                                                                                                                                      The room was very nice, and had a nice bathroom .
26                                                                                                                                                                                                                                      The room was wonderful with great beds, a nice bathroom and we also had an excellent view of Coit Tower as well .
27                                                                                                                                                                                                                                                                             The room was small, with a king bed, and a truly claustrophobic bathroom .
28                                                                                                                                                                           Amenities ,  While this hotel isn't a luxury property, they have some nice touches like marble bathrooms, mini bar, room service and an evening wine reception every day   .
29                                                                                                                                                                                                                                                                The bathroom was clean, well lit, and always well stocked with shampoo etc and towels .
30                                                                                                                                                                                                                                        The only odd thing was the bathroom door and room door opened outwards into the room and hallway respectively .
31                                                                                                                                                                                                                                       Room spacious 2 double beds gave us plenty of room, the beds were comfortable and the bathroom was a good size .
32                                                                                                                                                                                                                                                                                          The bathroom was large and included a mounted makeup mirror .
33                                                                                                                                                                                                                             The rooms are abit smallish  , but immaculately maintained, and tastefully decorated, with excellent bathroom facilities .
34                                                                                                                                                                                                                                                                                        Shower bathroom was good with good shower and plenty of space .
35                                                                                                                                                                                                                                                                                                     Both the bedroom and bathroom had plenty of room .
36                                                                                                                                                                                                                                                                                           large clean bathrooms fully stocked with everything needed .
37                                                                                                                                                                                                  However, when we arrived at our room there was a maintenance worker there measuring the bathroom counter, so maybe they're doing work in some units .
38                                                                                                                                                                                                                                                                                   The room was large and very comfortable with a nice large bathroom .
39                                                                                                                                                                                                                                                                                                  There is a wall, mounted hair dryer in the bathroom .
40                                                                                                                                                                                                                                                                                  The thing that bothered me the most was the bathroom was very dated .
41                                                                                                                                                                                                                                                                                            There is virtually no counterspace in the bathroom at all .
42                                                                                                                                                                                                                                                            Upon our arrival, there was a SLIGHT odor in bathroom but nothing worth complaining about .
43                                                                                                                                                                                                                                                                                                  The bathroom was adequate with thick, fluffy towels .
44                                                                                                                                                                                                                                                                                                                   The bathroom was large and private .
45                                                                                                                                                                                                              The bathroom was very clean and well appointed with nice towels and toiletries, it was not big, but room enough to do what one needs to .
46                                                                                                                                                                                                                       The Tuscan Inn room was quite nicely appointed, the bed was comfortable the chairs   TV adequate, the bathroom reasonably good .
47                                                                                                                                       my only real complaint would be that the bathroom does not have a separate vanity area, so 2 people getting dressed had to improvise, which was kind of surprising since the bathrooms were all redone on 2005 .
48                                                                                                                     The clever use of mirrors behind the bed helped to create the illusion of space, however, in reality the room was cramped and with two of us trying to use the hand basin and bathroom at the same time was particularly awkward .
49                                                                                                                                                                                                                    The bathroom containing the toilet and the shower was also very small, not to mention the sink and counter directly outside of it .
50   Turning the bathroom light on also turns the counter light on, meaning a middle, of, the, night trip to the bathroom means the whole side of the room gets illuminated  and the wooden shutters that were installed in place of traditional curtains to add to the hotel's theme do absolutely nothing to keep the room dark once the sun comes up .
51                                                                                                                                                                                                                                                                                            The room was a good size but the bathroomm was very small .
52                                                                                                                                                                                                                                                                                            Bathroom was adequate and clean and there was a hairdryer .
53                                                                                                                                                                                                                                     The wash basin was in the room without any privacy and there was a small bathroom for the toilet and bath shower .
54                                                                                                                                                                                                                                                 The bathroom had not been remodeled in alignment, but it was all very clean and perfectly acceptable .
55                                                                                                                                                                                                                                                                                                                    The bathroom had several problems .
56                                                                                                                                                                                                                                                                                                                        Bathrooms were also very nice .
57                                                                                                                                                                                                                                                                      The shower stall could have been bigger as the bathroom itself was pretty large .
58                                                                                                                                                                                                                         Then they gave us a room which had a view of a wall, a tiny bathroom so small in fact that the sink had to be in the bedroom .
59                                                                                                                                                                                                                                                          The room is not the most modern room but there was tons of space especially in the bathroom .
60                                                                                                                                                                                               We may have had an ADA room because it was pretty big with large bathroom ,  it was room 459 ,  and the room had all the amenities we were looking for .
61                                                                                                                                                                                                                                                                                   The room   and bathroom were perfect in size,  just what is needed .
62                                                                                                                                                                                                         The only possible complaint was that the sink in the bathroom had a crack in it, but it did not bother me enough to ask for a different room .
63                                                                                                                                                                                                                                                                                                                    Bathrooms, though, are plenty big .
64                                                                                                                                                          Although the rooms were clean and fresh, one of ours had several small problems ,  the phone didn't work, the bathroom door handle was quite loose, and the thermostat didn't work properly .
65                                                                                                                                                                                                        It represents value for money, the rooms and bathrooms were impeccably clean, fresh linen daily, and the staff extremely helpful and friendly .
66                                                                                                                                                                                                                                                    There were plenty of thick towels in the bathroom, and all the usual toiletries, hair, dryer, etc .
67                                                                                                                                                                                                                                   I really didn't get a chance to experience the staff's level of service but the rooms are small as is the bathroom .
68                                                                                                                                                                                                                                    The bathroom was also small  it was difficult to close the door once inside to avoid the door hitting you no joke !
69                                                                                                                                                                                                                           Some rooms had the bathroom sink outside the bathroom, which we would have preferred, but our sink was inside the bathroom .
70                                                                                                                                                                             The bathroom was clean and bright and the toiletries   were so good that we took the leftovers home because there was a website selling the shampoo listed on the bottle .
71                                                                                                                                                                                                                                                           The rooms were very nice, could of use just a little more shelf space by the bathroom sink .
72                                                                                                                                                                                                                                                                                                            The bathroom was clean but a little dated .
73                                                                                                                                                                                                        The only thing wrong with the room was the bathroom, it was not up to the standard of the rest of the decor but it was clean and large enough .
74                                                                                                                                                                                                                                                                                            The bathroom was just okay, but for the price we survived .
75                                                                                                                                                                                                                                                Hair dryer in bathroom constantly fell in sink from it's holder when anyone used the door to our room .
76                                                                                                                                                                                                                             The reasonable price of the hotel allowed us to book 2 rooms, thus giving the 4 of us a bit more space and 2 bathrooms   .
77                                                                                                                                                                                                                                                                                                                       Plenty of room in the bathroom .
78                                                                                                                                                                                                                                                                                                              Nice clean rooms and a spaciousbathroom .
79                                                                                                                                                                                                                                                               The only minor downside, as a few others have mentioned, is the bathroom sink lighting .
80                                                                                                                                                                                                                                                                                               Did not like the bathroom light shining into bedroom   .
81                                                                                                                                                                                                                                                                                                 Only negative is the bathroom area is a little small .
82                                                                                                                                                                                                                                                                          Our suite we had was small there was pubic hair on the bathroom floor from  ?
83                                                                                                                                                                                                                                                                                                                  bathroom a little on the older side .
84                                                                                                                                                                                                                                                                                                                The bathroom needed a face, lift also .
85                                                                                                                                                                                                                                                                                  The bathrooms are quite small compared to other hotels but adequate .
86                                                                                                                                                                                                                     The hotel was of a good standard, big clean rooms, decent bathroom and the free wine reception in the evening was an added bonus ."
